Season,Player,Profile URL,Position,Current Club,Market Value,Flashscore Link
2012/2013,Oussema Boughanmi,https://www.transfermarkt.com/oussema-boughanmi/profil/spieler/133080,Central Midfield,CS Saint-Laurent,€100k,Unavailable
2013/2014,Rafik Kamergi,https://www.transfermarkt.com/rafik-kamergi/profil/spieler/320501,Rafik Kamergi,Al-Sahel Club,,Unavailable
2023/2024,Salmen Trabelsi,https://www.transfermarkt.com/salmen-trabelsi/profil/spieler/1210567,Right Winger,Esperance Tunis U21,€25k,Unavailable
2014/2015,Seifeddine Akremi,https://www.transfermarkt.com/seifeddine-akremi/profil/spieler/122342,Left-Back,Al-Nairyah Club,€150k,Unavailable
2014/2015,Seifeddine Jerbi,https://www.transfermarkt.com/seifeddine-jerbi/profil/spieler/252963,Seifeddine Jerbi,ES Radès,€300k,Unavailable
2014/2015,Tarak Achour,https://www.transfermarkt.com/tarak-achour/profil/spieler/112398,Defensive Midfield,Unknown,€150k,Unavailable
2024/2025,Wajdi Issaoui,https://www.transfermarkt.com/wajdi-issaoui/profil/spieler/1338664,Central Midfield,Esperance Tunis U21,,Unavailable
2018/2019,Wassim Naghmouchi,https://www.transfermarkt.com/wassim-naghmouchi/profil/spieler/264336,Central Midfield,Al-Shomooa SC,€450k,Unavailable
2020/2021,Youssef Mosrati,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,Central Midfield,Al Tersana Tripoli,€150k,Unavailable
2023/2024,Youssouf Oumarou,https://www.transfermarkt.com/youssouf-oumarou/profil/spieler/343276,Central Midfield,Al-Karma,€850k,Unavailable
2023/2024,Zinedine Sassi,https://www.transfermarkt.com/zinedine-sassi/profil/spieler/1054064,Centre-Back,Al-Waab SC,€75k,Unavailable
