Season,Player,Profile URL,Position,Current Club,Market Value
2020/2021,Houcine Rabii,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,Left-Back,ES Rogba Tataouine,€200k
2023/2024,Houssam Ghacha,https://www.transfermarkt.com/houssam-ghacha/profil/spieler/503035,Houssam Ghacha,USM Alger,€900k
2022/2023,Houssem Dagdoug,https://www.transfermarkt.com/houssem-dagdoug/profil/spieler/487195,Centre-Back,Etoile Sportive du Sahel,€300k
2024/2025,Houssem Tka,https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,Central Midfield,Esperance Tunis,€1.20m
2024/2025,Ibrahima Keita,https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,Right-Back,Esperance Tunis,€150k
2015/2016,Ichaka Diarra,https://www.transfermarkt.com/ichaka-diarra/profil/spieler/274480,Centre-Back,Tadamon Sour,€75k
2015/2016,Idriss Mhirsi,https://www.transfermarkt.com/idriss-mhirsi/profil/spieler/171755,Attacking Midfield,Union Sportive de Ben Guerdane,€650k
2021/2022,Ilyes Chetti,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,Left-Back,USM Alger,€550k
2024/2025,Jack Diarra,https://www.transfermarkt.com/jack-diarra/profil/spieler/1133779,Left Winger,Esperance Tunis,
2019/2020,Junior Lokosa,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,Centre-Forward,Without Club,€325k
2024/2025,Kebba Sowe,https://www.transfermarkt.com/kebba-sowe/profil/spieler/669379,Centre-Forward,Esperance Tunis,€200k
2023/2024,Khaireddine Meddaoui,https://www.transfermarkt.com/khaireddine-meddaoui/profil/spieler/1264545,Midfielder,Esperance Tunis U21,
2016/2017,Khaled Gharsallaoui,https://www.transfermarkt.com/khaled-gharsallaoui/profil/spieler/214957,Right Winger,Without Club,€275k
2020/2021,Khalid Basit,https://www.transfermarkt.com/khalid-basit/profil/spieler/458371,Centre-Forward,Without Club,€700k
2012/2013,Khalil Gantassi,https://www.transfermarkt.com/khalil-gantassi/profil/spieler/270264,Attacking Midfield,AS Oued Ellil,€75k
2024/2025,Khalil Guenichi,https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,Defensive Midfield,Esperance Tunis,€500k
2018/2019,Khemais Maaouani,https://www.transfermarkt.com/khemais-maaouani/profil/spieler/474759,Defensive Midfield,Union Sportive de Ben Guerdane,€175k
2021/2022,Kingsley Eduwo,https://www.transfermarkt.com/kingsley-eduwo/profil/spieler/532477,Centre-Forward,Without Club,€650k
2021/2022,Kouadio Brou David Koffi,https://www.transfermarkt.com/kouadio-brou-david-koffi/profil/spieler/924164,Right Winger,ASEC Mimosas,€50k
2024/2025,Koussay Maacha,https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,Right Winger,Esperance Tunis,€200k
2024/2025,Koussay Smiri,https://www.transfermarkt.com/koussay-smiri/profil/spieler/1246844,Centre-Back,Al-Khor SC,€175k
2019/2020,Kwame Bonsu,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Kwame Bonsu,Al-Jandal SC,€350k
2024/2025,Larry Azouni,https://www.transfermarkt.com/larry-azouni/profil/spieler/204347,Central Midfield,Dibba Al-Hisn SC,€400k
2014/2015,Magno Cruz,https://www.transfermarkt.com/magno-cruz/profil/spieler/109131,Centre-Forward,Shanghai Jiading Huilong Reserves,
2020/2021,Maher Ben Seghaier,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Left Winger,Etoile Sportive du Sahel,€150k
2017/2018,Malek Charfi,https://www.transfermarkt.com/malek-charfi/profil/spieler/578910,Right-Back,Al-Shat Tripoli,€50k
2022/2023,Malek Mehri,https://www.transfermarkt.com/malek-mehri/profil/spieler/1003198,Central Midfield,Without Club,€200k
2016/2017,Malek Miladi,https://www.transfermarkt.com/malek-miladi/profil/spieler/376085,Centre-Back,US Monastir,€125k
2023/2024,Moez Ben Cherifia,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,Goalkeeper,AS Soliman,€500k
2023/2024,Mohamed Ali Ben Hammouda,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,Mohamed Ali Ben Hammouda,CR Belouizdad,€600k
2022/2023,Mohamed Ali Ben Romdhane,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Mohamed Ali Ben Romdhane,Al Ahly FC,€2.70m
2016/2017,Mohamed Ali Mhadhebi,https://www.transfermarkt.com/mohamed-ali-mhadhebi/profil/spieler/159550,Mohamed Ali Mhadhebi,Aigle Sportif Teboulba,€125k
2017/2018,Mohamed Ali Moncer,https://www.transfermarkt.com/mohamed-ali-moncer/profil/spieler/172296,Mohamed Ali Moncer,FC Brandbergen,€700k
2022/2023,Mohamed Ali Yaakoubi,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,Mohamed Ali Yaakoubi,JS Kairouanaise,€200k
2024/2025,Mohamed Amine Ben Hamida,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Mohamed Amine Ben Hamida,Esperance Tunis,€700k
2021/2022,Mohamed Amine Meskini,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Mohamed Amine Meskini,Al-Watan SC,€200k
2016/2017,Mohamed Amine Nefzi,https://www.transfermarkt.com/mohamed-amine-nefzi/profil/spieler/217597,Mohamed Amine Nefzi,Without Club,€225k
2024/2025,Mohamed Amine Tougai,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Mohamed Amine Tougai,Esperance Tunis,€1.50m
2018/2019,Mohamed Aziz Ben Charnia,https://www.transfermarkt.com/mohamed-aziz-ben-charnia/profil/spieler/842988,Mohamed Aziz Ben Charnia,SC Moknine,
2017/2018,Mohamed Aziz Boucetta,https://www.transfermarkt.com/mohamed-aziz-boucetta/profil/spieler/581162,Mohamed Aziz Boucetta,AS Soliman,
2024/2025,Mohamed Ben Ali,https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,Mohamed Ben Ali,Esperance Tunis,€500k
2023/2024,Mohamed Mohieddine Aloui,https://www.transfermarkt.com/mohamed-mohieddine-aloui/profil/spieler/1264547,Mohamed Mohieddine Aloui,Union Sportive de Ben Guerdane,
2024/2025,Mohamed Mouhli,https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,Mohamed Mouhli,Esperance Tunis,€300k
2024/2025,Mohamed Rayane Hamrouni,https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,Mohamed Rayane Hamrouni,Esperance Tunis,€200k
