Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Kouceila Boualia,2025/2026,7,24,1.77m,Right Winger,Algeria,https://img.a.transfermarkt.technology/portrait/header/848796-1731012549.jpg?lm=1,https://www.transfermarkt.com/kouceila-boualia/profil/spieler/848796,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€600k
Koussay Maacha,2025/2026,30,18,1.78m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€200k
Maher Ben Seghaier,2020/2021,27,29,1.82m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Etoile Sportive du Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/small/250.png?lm=1584825425,Tunisia,€150k
Malek Mehri,2022/2023,18,22,1.80m,Central Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/malek-mehri/profil/spieler/1003198,Club Athlétique Bizertin,https://www.transfermarkt.com/ca-bizertin/startseite/verein/12717,https://tmssl.akamaized.net//images/wappen/small/12717.png?lm=1534152607,Tunisia,€200k
Malek Miladi,2016/2017,,28,1.88m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/376085-1722162474.png?lm=1,https://www.transfermarkt.com/malek-miladi/profil/spieler/376085,US Monastir,https://www.transfermarkt.com/us-monastir/startseite/verein/9890,https://tmssl.akamaized.net//images/wappen/small/9890.png?lm=1563116766,Tunisia,€125k
Moez Ben Cherifia,2023/2024,12,34,1.82m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/143581-1523616475.jpg?lm=1,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,https://tmssl.akamaized.net//images/wappen/small/52128.png?lm=1468792418,Tunisia,€500k
Mohamed Ali Yaakoubi,2022/2023,6,35,1.92m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/134629-1478270223.jpg?lm=1,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,JS Kairouanaise,https://www.transfermarkt.com/js-kairouanaise/startseite/verein/17534,https://tmssl.akamaized.net//images/wappen/small/17534.png?lm=1418329709,Tunisia,€200k
Mohamed Amine Ben Hamida,2025/2026,20,29,1.81m,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/454495-1646245853.jpeg?lm=1,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€700k
Mohamed Amine Tougai,2025/2026,15,25,1.91m,Centre-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€1.50m
Mohamed Aziz Boucetta,2017/2018,,27,1.86m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/581162-1619704545.jpeg?lm=1,https://www.transfermarkt.com/mohamed-aziz-boucetta/profil/spieler/581162,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,https://tmssl.akamaized.net//images/wappen/small/52128.png?lm=1468792418,Tunisia,
