Player,Season,EST_Seasons,Total_EST_Seasons,Jersey_Number,Age,Birth_Date,Height,Preferred_Foot,Position,Detailed_Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Club_Country,Club_Logo,Club_Founded,Market_Value,Contract_Expires,Agent
Alaeddine Derbali,2024/2025,2024/2025,1,,,19.05.2005 (20),"1,88 m",,Alaeddine Derbali,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/alaeddine-derbali/profil/spieler/1264544,Esperance Tunis,,,,,,,,
Mohamed Amine Ben Hamida,2024/2025,2024/2025,1,20,,15.12.1995 (29),"1,81 m",,Mohamed Amine Ben Hamida,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Esperance Tunis,,,,,,€700k,,
Nidhal Laifi,2024/2025,2024/2025,1,,,01.05.1998 (27),"1,82 m",,Left-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/nidhal-laifi/profil/spieler/564882,Esperance Tunis,,,,,,€550k,,
Ayman Ben Mohamed,2024/2025,2024/2025,1,22,,08.12.1994 (30),"1,76 m",,Ayman Ben Mohamed,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Esperance Tunis,,,,,,€300k,,
Raed Bouchniba,2024/2025,2024/2025,1,13,,25.09.2003 (21),"1,82 m",,Right-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/raed-bouchniba/profil/spieler/1008461,Esperance Tunis,,,,,,€650k,,
Mohamed Ben Ali,2024/2025,2024/2025,1,2,,16.02.1995 (30),"1,75 m",,Mohamed Ben Ali,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,Esperance Tunis,,,,,,€500k,,
Elyas Bouzaiene,2024/2025,2024/2025,1,25,,08.09.1997 (28),"1,80 m",,Right-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Esperance Tunis,,,,,,€300k,,
Ibrahima Keita,2024/2025,2024/2025,1,,,08.11.2001 (23),"1,81 m",,Right-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,Esperance Tunis,,,,,,€150k,,
Raed Fadaa,2024/2025,2024/2025,1,,,,,,Right-Back,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Esperance Tunis,,,,,,,,
Roger Aholou,2024/2025,2024/2025,1,18,,30.12.1993 (31),"1,82 m",,Defensive Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/roger-aholou/profil/spieler/727208,Esperance Tunis,,,,,,€1.00m,,
