Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
André Bukia,2023/2024,7,30,1.73m,Right Winger,DR Congo,https://img.a.transfermarkt.technology/portrait/header/343289-1564086279.png?lm=1,https://www.transfermarkt.com/andre-bukia/profil/spieler/343289,Al-Adalah FC,https://www.transfermarkt.com/al-adalah-fc/startseite/verein/55544,https://tmssl.akamaized.net//images/wappen/small/55544.png?lm=1760529724,Saudi Arabia,€400k
Anice Ammous,2022/2023,,24,1.75m,Right Winger,France,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/anice-ammous/profil/spieler/1010651,Without Club,,,,
Anice Badri,2022/2023,8,35,1.77m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_164925_12765_2010_1.jpg?lm=1,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,The Football Circle,https://www.transfermarkt.com/the-football-circle/startseite/verein/135035,https://tmssl.akamaized.net//images/wappen/small/135035.png?lm=1759264199,,€500k
Anthar Yahia,2013/2014,,43,1.84m,Centre-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/s_5586_3342_2013_03_16_1.jpg?lm=1,https://www.transfermarkt.com/anthar-yahia/profil/spieler/5586,Retired,,,,€500k
Arbi Jabeur,2014/2015,3,40,1.87m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/arbi-jabeur/profil/spieler/49842,Retired,,,,€300k
Ayman Ben Mohamed,2024/2025,22,30,1.76m,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/249446-1615163202.jpeg?lm=1,https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Without Club,,,,€300k
Aymen Ben Amor,2012/2013,,40,1.78m,Right-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_111951_3342_2010_2.jpg?lm=1,https://www.transfermarkt.com/aymen-ben-amor/profil/spieler/111951,FC Hammamet,https://www.transfermarkt.com/fc-hammamet/startseite/verein/42575,https://tmssl.akamaized.net//images/wappen/small/42575.png?lm=1459608639,,€100k
Aymen Mahmoud,2018/2019,3,29,1.89m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/370034-1683853279.png?lm=1,https://www.transfermarkt.com/aymen-mahmoud/profil/spieler/370034,Diyala SC,https://www.transfermarkt.com/diyala-fc/startseite/verein/42036,https://tmssl.akamaized.net//images/wappen/small/42036.png?lm=1751972748,Iraq,€350k
Aziz Abid,2023/2024,21,22,1.78m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/1008460-1674215415.png?lm=1,https://www.transfermarkt.com/aziz-abid/profil/spieler/1008460,US Monastir,https://www.transfermarkt.com/us-monastir/startseite/verein/9890,https://tmssl.akamaized.net//images/wappen/small/9890.png?lm=1563116766,Tunisia,€150k
Aziz Fellah,2025/2026,,23,1.75m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€50k
