Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Bilel Mejri,2018/2019,9,,,Right Winger,Tunisia,,https://www.transfermarkt.com/bilel-mejri/profil/spieler/441208,Al-Akhdar SC,,https://tmssl.akamaized.net//images/wappen/verysmall/32078.png?lm=1755247477,,€400k
Bilel Sahli,2023/2024,24,,,Second Striker,France,,https://www.transfermarkt.com/bilel-sahli/profil/spieler/710593,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€50k
Billel Bensaha,2019/2020,7,,,Left Winger,Algeria,,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,USM El Harrach,,https://tmssl.akamaized.net//images/wappen/verysmall/30930.png?lm=1410079916,,€325k
Cedrik Gbo,2021/2022,,,,Defensive Midfield,Cote d'Ivoire,,https://www.transfermarkt.com/cedrik-gbo/profil/spieler/841501,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€250k
Chams Deen Chaona,2017/2018,3,,,Centre-Back,Benin,,https://www.transfermarkt.com/chams-deen-chaona/profil/spieler/570510,Loto-Popo FC,,https://tmssl.akamaized.net//images/wappen/verysmall/76583.png?lm=1643445336,,€50k
Chamseddine Samti,2014/2015,27,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/chamseddine-samti/profil/spieler/275030,EO Sidi Bouzid,,https://tmssl.akamaized.net//images/wappen/verysmall/44805.png?lm=1673031867,,€75k
Chedli Ghrab,2014/2015,11,,,Right Winger,Tunisia,,https://www.transfermarkt.com/chedli-ghrab/profil/spieler/253465,Progrès Sportif Sakiet Eddaier,,https://tmssl.akamaized.net//images/wappen/verysmall/63909.png?lm=1581111204,,€250k
Chiheb Jebali,2025/2026,31,-2,1.00,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Without Club,,,,€1.00m
Daouda Camara,2014/2015,,,,Right Winger,Guinea,,https://www.transfermarkt.com/daouda-camara/profil/spieler/304141,El Alameen SC,,https://tmssl.akamaized.net//images/wappen/verysmall/77990.png?lm=1657560754,,€50k
Elias Mokwana,2023/2024,,,,Right Winger,South Africa,,https://www.transfermarkt.com/elias-mokwana/profil/spieler/968496,Al-Hazem SC,,https://tmssl.akamaized.net//images/wappen/verysmall/9131.png?lm=1752519661,,€750k
Elyas Bouzaiene,2025/2026,25,-2,,Right-Back,Sweden,,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Without Club,,,,€300k
Elyes Jelassi,2016/2017,10,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/elyes-jelassi/profil/spieler/292219,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€250k
Emeka Emerun,2012/2013,,,,Left Winger,Nigeria,,https://www.transfermarkt.com/emeka-emerun/profil/spieler/215519,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€75k
Ernest Thierry Anang,2013/2014,,,,Centre-Forward,Cameroon,,https://www.transfermarkt.com/ernest-thierry-anang/profil/spieler/307280,Al-Bahri SC,,https://tmssl.akamaized.net//images/wappen/verysmall/77885.png?lm=1616253089,,
Fakhreddine Ben Youssef,2017/2018,,,1.00,Centre-Forward,Tunisia,,https://www.transfermarkt.com/fakhreddine-ben-youssef/profil/spieler/218058,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€1.00m
Farouk Mimouni,2023/2024,33,,,Left Winger,Tunisia,,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€100k
Fedi Ben Choug,2021/2022,24,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€300k
Ferjani Sassi,2017/2018,,,1.60,Central Midfield,Tunisia,,https://www.transfermarkt.com/ferjani-sassi/profil/spieler/191903,Al-Gharafa SC,,https://tmssl.akamaized.net//images/wappen/verysmall/6297.png?lm=1694632253,,€1.60m
Florian Danho,2025/2026,,-3,,Centre-Forward,France,,https://www.transfermarkt.com/florian-danho/profil/spieler/819938,Without Club,,,,€550k
Fousseny Coulibaly,2022/2023,15,,,Centre-Back,Cote d'Ivoire,,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Asswehly SC,,https://tmssl.akamaized.net//images/wappen/verysmall/38559.png?lm=1750781288,,€900k
Franck Kom,2018/2019,30,,1.00,Defensive Midfield,Cameroon,,https://www.transfermarkt.com/franck-kom/profil/spieler/148518,Emirates Club,,https://tmssl.akamaized.net//images/wappen/verysmall/15542.png?lm=1705891099,,€1.00m
Ghaith Ouahabi,2023/2024,23,,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/ghaith-ouahabi/profil/spieler/1008453,Dinamo Batumi,,https://tmssl.akamaized.net//images/wappen/verysmall/11344.png?lm=1420654425,,€450k
Ghassen Mahersi,2021/2022,,,,Left-Back,Tunisia,,https://www.transfermarkt.com/ghassen-mahersi/profil/spieler/1008452,ES Zarzis,,https://tmssl.akamaized.net//images/wappen/verysmall/2205.png?lm=1418329546,,€25k
Ghaylen Chaalali,2023/2024,25,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/ghaylen-chaalali/profil/spieler/346776,Al-Ahli SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13504.png?lm=1734761743,,€900k
Hamdou El Houni,2022/2023,10,,1.40,Attacking Midfield,Libya,,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Al-Ahli SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13504.png?lm=1734761743,,€1.40m
Hamza Ben Cherifia,2015/2016,,,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/hamza-ben-cherifia/profil/spieler/295380,Etoile Sportive Metlaoui,,https://tmssl.akamaized.net//images/wappen/verysmall/39801.png?lm=1418329825,,
Hamza Ghanmi,2023/2024,16,,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/hamza-ghanmi/profil/spieler/577882,ES Zarzis,,https://tmssl.akamaized.net//images/wappen/verysmall/2205.png?lm=1418329546,,€175k
Hamza Jelassi,2025/2026,6,-1,,Centre-Back,Tunisia,,https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,Without Club,,,,€400k
Hamza Letifi,2014/2015,,,,Right-Back,Tunisia,,https://www.transfermarkt.com/hamza-letifi/profil/spieler/376089,Sporting Club de Ben Arous,,https://tmssl.akamaized.net//images/wappen/verysmall/27767.png?lm=1459608780,,
Hani Amamou,2023/2024,22,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/hani-amamou/profil/spieler/468681,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€200k
Hassen Harbaoui,2014/2015,19,,,Left Winger,Tunisia,,https://www.transfermarkt.com/hassen-harbaoui/profil/spieler/154736,US Siliana,,https://tmssl.akamaized.net//images/wappen/verysmall/52133.png?lm=1467559290,,€300k
Haythem Dhaou,2025/2026,17,,,Left Winger,Tunisia,,https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,Without Club,,,,€25k
Haythem Jouini,2019/2020,,,,Centre-Forward,Tunisia,,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,Al-Quwa Al-Jawiya,,https://tmssl.akamaized.net//images/wappen/verysmall/23805.png?lm=1659874773,,€350k
Houcine Rabii,2019/2020,26,,,Left-Back,Tunisia,,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,ES Rogba Tataouine,,https://tmssl.akamaized.net//images/wappen/verysmall/90707.png?lm=1674204464,,€300k
Houssam Ghacha,2023/2024,18,,,Right Winger,Algeria,,https://www.transfermarkt.com/houssam-ghacha/profil/spieler/503035,USM Alger,,https://tmssl.akamaized.net//images/wappen/verysmall/6772.png?lm=1705509817,,€900k
Houssem Dagdoug,2022/2023,30,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/houssem-dagdoug/profil/spieler/487195,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€300k
Houssem Tka,2025/2026,8,-1,1.20,Central Midfield,Tunisia,,https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,Without Club,,,,€1.20m
Ibrahima Keita,2025/2026,3,-2,,Right-Back,Mauritania,,https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,Without Club,,,,€150k
Ichaka Diarra,2015/2016,6,,,Centre-Back,Mali,,https://www.transfermarkt.com/ichaka-diarra/profil/spieler/274480,Tadamon Sour,,https://tmssl.akamaized.net//images/wappen/verysmall/388.png?lm=1416237825,,€75k
Idriss Mhirsi,2015/2016,8,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/idriss-mhirsi/profil/spieler/171755,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€650k
