Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Daouda Camara,2014/2015,,21,,Daouda Camara,,,https://www.transfermarkt.com/daouda-camara/profil/spieler/304141,El Alameen SC,,https://tmssl.akamaized.net//images/wappen/verysmall/77990.png?lm=1657560754,,€50k
Ernest Thierry Anang,2013/2014,,19,,Ernest Thierry Anang,,,https://www.transfermarkt.com/ernest-thierry-anang/profil/spieler/307280,Al-Bahri SC,,https://tmssl.akamaized.net//images/wappen/verysmall/77885.png?lm=1616253089,,
Rafik Kamergi,2013/2014,,19,,Rafik Kamergi,,,https://www.transfermarkt.com/rafik-kamergi/profil/spieler/320501,Al-Sahel Club,,https://tmssl.akamaized.net//images/wappen/verysmall/70835.png?lm=1658669112,,
Malek Miladi,2016/2017,,20,,Centre-Back,,,https://www.transfermarkt.com/malek-miladi/profil/spieler/376085,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€125k
Houcine Rabii,2020/2021,26,26,,Left-Back,,,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,ES Rogba Tataouine,,https://tmssl.akamaized.net//images/wappen/verysmall/90707.png?lm=1674204464,,€200k
Hamza Letifi,2014/2015,,20,,Hamza Letifi,,,https://www.transfermarkt.com/hamza-letifi/profil/spieler/376089,Sporting Club de Ben Arous,,https://tmssl.akamaized.net//images/wappen/verysmall/27767.png?lm=1459608780,,
Tarak Achour,2014/2015,,33,,Defensive Midfield,,,https://www.transfermarkt.com/tarak-achour/profil/spieler/112398,Unknown,,https://tmssl.akamaized.net//images/wappen/verysmall/75.png?lm=1456997316,,€150k
Ghaylen Chaalali,2023/2024,25,25,,Central Midfield,,,https://www.transfermarkt.com/ghaylen-chaalali/profil/spieler/346776,Al-Ahli SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13504.png?lm=1734761743,,€900k
Elyes Jelassi,2016/2017,10,23,,Attacking Midfield,,,https://www.transfermarkt.com/elyes-jelassi/profil/spieler/292219,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€250k
Hassen Harbaoui,2014/2015,19,19,,Hassen Harbaoui,,,https://www.transfermarkt.com/hassen-harbaoui/profil/spieler/154736,US Siliana,,https://tmssl.akamaized.net//images/wappen/verysmall/52133.png?lm=1467559290,,€300k
Youssef Khemiri,2018/2019,,25,,Left Winger,,,https://www.transfermarkt.com/youssef-khemiri/profil/spieler/376087,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€150k
Chedli Ghrab,2014/2015,11,22,,Right Winger,,,https://www.transfermarkt.com/chedli-ghrab/profil/spieler/253465,Progrès Sportif Sakiet Eddaier,,https://tmssl.akamaized.net//images/wappen/verysmall/63909.png?lm=1581111204,,€250k
Bernard Bulbwa,2016/2017,7,20,,Bernard Bulbwa,,,https://www.transfermarkt.com/bernard-bulbwa/profil/spieler/364294,Suez SC,,https://tmssl.akamaized.net//images/wappen/verysmall/30564.png?lm=1479750969,,€150k
Samuel Eduok,2016/2017,,23,1.25,Samuel Eduok,,,https://www.transfermarkt.com/samuel-eduok/profil/spieler/274802,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€1.25m
Fakhreddine Ben Youssef,2017/2018,,27,1.00,Centre-Forward,,,https://www.transfermarkt.com/fakhreddine-ben-youssef/profil/spieler/218058,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€1.00m
Magno Cruz,2014/2015,7,27,,Centre-Forward,,,https://www.transfermarkt.com/magno-cruz/profil/spieler/109131,Shanghai Jiading Huilong Reserves,,https://tmssl.akamaized.net//images/wappen/verysmall/85371.png?lm=1680038397,,
Wassim Karoui,2024/2025,31,31,,Goalkeeper,,,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,
Hamza Ben Cherifia,2015/2016,,19,,Hamza Ben Cherifia,,,https://www.transfermarkt.com/hamza-ben-cherifia/profil/spieler/295380,Etoile Sportive Metlaoui,,https://tmssl.akamaized.net//images/wappen/verysmall/39801.png?lm=1418329825,,
Ichaka Diarra,2015/2016,6,21,,Centre-Back,,,https://www.transfermarkt.com/ichaka-diarra/profil/spieler/274480,Tadamon Sour,,https://tmssl.akamaized.net//images/wappen/verysmall/388.png?lm=1416237825,,€75k
Mondher Guesmi,2016/2017,6,25,,Defensive Midfield,,,https://www.transfermarkt.com/mondher-guesmi/profil/spieler/401849,Al-Sadd,,https://tmssl.akamaized.net//images/wappen/verysmall/69030.png?lm=1566337450,,€100k
Ferjani Sassi,2017/2018,,26,1.60,Central Midfield,,,https://www.transfermarkt.com/ferjani-sassi/profil/spieler/191903,Al-Gharafa SC,,https://tmssl.akamaized.net//images/wappen/verysmall/6297.png?lm=1694632253,,€1.60m
Saad Bguir,2018/2019,18,18,1.00,Attacking Midfield,,,https://www.transfermarkt.com/saad-bguir/profil/spieler/253752,Al-Nasr SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13508.png?lm=1734838841,,€1.00m
Adam Rejaibi,2018/2019,7,25,,Adam Rejaibi,,,https://www.transfermarkt.com/adam-rejaibi/profil/spieler/208581,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€400k
Abdoulaye Sissoko,2015/2016,,23,,Right Winger,,,https://www.transfermarkt.com/abdoulaye-sissoko/profil/spieler/174709,Djoliba AC,,https://tmssl.akamaized.net//images/wappen/verysmall/1955.png?lm=1724764190,,€75k
Bilel Mejri,2018/2019,9,23,,Right Winger,,,https://www.transfermarkt.com/bilel-mejri/profil/spieler/441208,Al-Akhdar SC,,https://tmssl.akamaized.net//images/wappen/verysmall/32078.png?lm=1755247477,,€400k
Anice Badri,2022/2023,8,32,,Centre-Forward,,,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,AFC Dubai,,https://tmssl.akamaized.net//images/wappen/verysmall/124022.png?lm=1731529282,,€500k
Taha Yassine Khenissi,2020/2021,11,29,,Centre-Forward,,,https://www.transfermarkt.com/taha-yassine-khenissi/profil/spieler/142252,Kuwait SC,,https://tmssl.akamaized.net//images/wappen/verysmall/15482.png?lm=1420983445,,€800k
